sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,ads_clicked_last_30_days,content_downloads,social_shares,engagement_score,account_age_days
4,10.05,48.89,17,3,6,20,0,0,11,3,1,1,58.24,638
9,31.78,57.18,12,6,7,9,0,0,8,4,4,2,60.87,893
4,20.96,35.78,9,1,4,7,0,0,33,8,5,1,36.8,394
7,14.68,53.0,9,7,4,19,0,0,8,3,4,4,69.01,1053
11,15.14,50.46,12,3,1,14,1,0,32,8,3,2,83.01,396
13,2.74,69.88,14,4,5,14,0,0,24,5,1,0,86.18,1054
5,51.72,70.48,10,10,5,23,0,0,12,8,2,2,69.92,704
12,26.17,24.32,9,5,3,11,0,0,16,3,4,2,68.45,768
8,18.52,28.66,19,7,5,3,1,0,39,8,1,1,79.79,266
12,11.86,18.03,15,6,3,14,0,0,35,7,1,4,75.78,58
9,6.25,37.14,12,4,2,12,2,0,1,7,5,3,90.29,522
2,9.42,15.93,9,4,4,9,0,0,11,9,2,0,37.64,936
4,0.46,73.75,10,8,2,11,0,1,43,6,7,1,58.0,205
6,5.16,31.99,11,1,3,20,1,0,38,4,3,3,52.86,561
11,22.26,69.01,9,3,2,14,0,1,8,8,3,1,68.23,720
11,3.68,51.26,15,3,4,20,2,0,21,7,2,0,26.77,526
7,13.55,60.31,12,6,1,17,1,0,17,7,4,1,53.69,199
5,3.97,63.7,12,10,4,19,0,0,32,8,4,4,67.11,407
12,14.92,81.7,11,5,4,21,0,0,9,9,5,4,65.02,1112
11,11.21,21.63,10,2,5,13,0,1,13,11,2,1,60.27,231
9,12.75,47.71,7,6,5,16,1,1,32,6,1,1,53.36,899
5,26.79,31.92,11,8,1,22,0,0,1,4,5,4,67.82,860
7,11.43,30.36,12,9,5,8,0,0,29,4,5,1,78.85,656
12,8.49,43.65,16,6,4,21,1,0,41,13,6,0,57.35,352
2,17.54,56.47,14,1,4,8,1,0,18,4,3,2,75.19,794
9,13.24,64.37,7,5,8,8,0,0,13,7,0,2,75.49,613
5,3.65,13.57,11,5,2,12,0,0,19,7,2,3,25.13,942
6,8.36,40.26,12,5,2,6,0,0,32,6,1,0,92.29,751
3,13.56,33.5,14,3,6,12,0,0,8,9,1,3,100.0,484
6,9.22,71.09,12,6,4,22,0,0,12,5,3,3,83.19,198
6,13.94,72.67,15,2,3,7,0,0,1,5,5,0,72.45,270
5,13.86,56.6,13,4,2,5,1,0,5,6,3,1,62.75,1031
9,12.19,35.65,12,4,5,18,0,0,16,3,4,2,65.12,850
12,53.31,67.78,9,5,5,21,0,0,23,8,3,1,73.22,229
5,20.04,5.0,16,9,9,20,2,0,42,6,4,0,93.19,1162
9,11.73,42.4,10,5,3,14,2,0,21,7,3,0,64.36,219
9,32.05,90.15,10,4,4,12,1,0,41,6,1,0,48.52,238
7,11.31,17.58,18,6,4,14,0,0,13,10,3,2,68.17,1137
10,2.09,25.1,13,4,2,5,0,0,10,4,3,2,66.18,1012
4,11.35,30.7,18,5,5,5,1,0,31,5,4,1,71.56,753
5,26.64,18.3,7,5,1,18,0,0,39,5,0,2,63.29,897
8,6.05,66.38,8,5,8,21,2,0,40,5,1,3,67.44,793
6,43.62,20.43,6,4,4,14,0,0,34,4,4,2,71.35,101
7,19.88,74.51,13,4,3,17,1,0,41,7,2,2,86.57,701
6,11.94,33.15,7,4,4,24,0,0,5,2,5,3,82.67,11
9,7.01,26.33,8,4,6,23,0,0,6,7,3,4,88.74,1098
6,3.56,30.54,13,5,4,10,1,0,41,11,3,2,86.99,894
9,39.13,66.84,11,4,1,14,0,0,36,7,5,5,84.97,762
5,12.75,12.36,9,4,8,23,0,0,5,4,3,2,68.52,1003
3,6.66,62.32,7,6,5,8,0,0,31,13,2,1,58.24,667
7,5.92,61.83,16,8,3,4,0,0,28,0,1,3,46.54,544
7,15.35,23.11,11,2,5,9,0,0,36,5,5,1,76.84,884
6,3.27,22.8,17,3,4,6,0,0,38,2,4,0,88.2,269
9,19.94,54.92,12,4,1,14,0,0,36,8,6,3,57.03,109
8,12.58,33.13,5,2,4,22,1,0,5,6,1,1,63.8,1034
7,5.11,63.44,15,4,2,18,0,0,38,9,2,3,85.07,1179
5,8.97,70.76,10,7,1,6,2,0,6,7,3,3,48.65,880
12,19.73,8.04,9,3,6,3,0,0,23,2,3,2,64.22,616
10,13.05,34.48,16,6,5,4,1,0,39,3,3,1,78.32,1134
14,23.08,55.31,11,4,7,16,0,0,17,10,3,5,82.94,111
10,13.58,50.66,17,5,2,17,2,1,3,14,3,5,29.67,17
6,12.14,24.93,12,6,5,22,0,0,39,7,3,4,62.96,423
2,6.87,34.29,9,4,3,12,1,0,43,6,3,2,60.03,405
4,25.17,48.7,17,4,3,19,0,0,30,6,5,2,67.14,371
8,7.85,64.54,14,5,5,23,1,0,13,9,2,1,45.77,532
5,14.98,51.34,13,7,4,9,1,0,38,6,0,3,56.93,902
7,15.17,36.16,17,4,2,4,0,0,14,4,5,1,77.44,633
5,6.75,35.53,21,7,2,9,0,0,1,7,3,2,72.28,377
9,6.48,51.97,13,7,5,3,0,0,19,4,2,1,71.16,913
11,9.47,62.45,8,7,3,24,1,1,7,6,1,2,68.37,515
6,13.37,31.72,16,4,1,12,0,0,10,2,4,1,62.14,1187
11,6.13,51.49,9,4,7,24,0,0,20,5,6,5,52.33,384
8,2.91,5.0,9,7,4,9,0,1,43,5,2,3,61.84,534
9,14.18,50.13,12,6,2,15,0,0,41,5,2,1,58.39,1152
11,6.13,50.48,7,5,2,16,0,0,37,7,0,0,83.04,86
11,29.04,41.08,13,6,3,8,0,0,33,5,3,3,70.69,709
5,5.51,71.43,11,3,6,14,1,0,29,4,4,0,51.53,1141
12,12.12,55.8,8,2,6,13,0,0,13,4,2,3,76.55,707
9,5.95,31.37,14,5,1,16,0,0,37,5,3,2,65.96,354
4,21.85,38.32,14,8,4,5,0,0,19,9,1,1,63.98,917
12,5.74,74.18,16,4,4,13,1,0,36,14,2,4,78.57,1139
10,14.13,10.79,11,2,2,17,0,0,17,4,4,3,66.38,832
8,3.6,42.18,3,3,4,6,0,0,22,3,1,1,67.75,455
6,35.06,42.08,17,7,5,23,1,0,42,4,1,1,88.08,1082
4,22.75,69.27,14,6,4,11,0,2,5,7,0,2,52.3,705
5,17.25,32.19,12,3,1,16,0,0,29,3,2,5,71.97,884
8,22.48,38.52,12,4,2,8,2,0,25,7,3,0,68.08,329
7,13.15,29.71,14,9,6,22,0,0,32,12,4,1,50.67,964
8,13.69,92.26,9,6,3,6,0,0,23,4,1,2,41.32,667
13,12.09,44.63,11,3,4,8,1,0,2,8,6,1,60.4,936
12,4.33,82.63,8,7,9,7,0,0,1,6,4,2,84.47,1016
8,7.89,28.32,9,4,5,7,1,0,2,7,5,3,34.01,404
6,4.23,72.67,15,3,0,16,0,2,25,7,4,4,77.95,391
10,9.08,42.56,13,1,5,13,0,0,23,4,1,1,49.79,1060
12,21.84,52.42,11,8,4,22,1,0,28,5,1,2,60.87,1093
5,23.51,24.7,8,12,4,19,0,0,19,6,2,3,71.23,643
9,13.79,5.0,7,6,4,4,0,2,16,3,2,0,60.17,87
3,13.67,69.0,7,8,3,8,0,2,25,5,3,3,53.69,49
11,10.01,56.54,10,6,3,11,2,0,25,5,3,2,52.33,1007
2,0.25,67.8,15,8,3,4,0,0,18,9,5,2,55.89,937
8,19.87,80.82,7,4,5,17,0,0,44,4,2,3,62.24,794
7,20.45,31.28,13,3,3,6,2,0,38,4,2,2,71.38,420
11,22.23,58.22,14,5,6,16,0,0,39,7,2,2,68.41,308
13,8.08,41.0,8,6,4,21,0,0,20,8,3,2,42.51,1162
8,7.1,5.38,15,6,1,9,0,0,27,6,5,1,85.33,1134
10,24.86,68.76,12,6,5,8,0,0,16,9,7,0,69.0,173
5,12.73,5.0,6,3,8,13,0,0,31,8,4,1,57.0,1154
10,10.03,58.78,11,3,4,4,1,0,13,10,3,1,34.97,136
8,26.43,54.75,9,5,7,20,0,0,13,5,6,2,59.04,548
9,4.37,55.84,17,4,4,12,0,0,24,2,2,1,65.93,443
7,19.52,41.43,8,3,6,16,0,0,15,5,6,2,71.36,1146
13,8.52,28.25,13,5,5,8,1,0,42,9,3,4,70.03,395
7,4.85,56.12,15,6,5,8,1,0,39,9,1,0,52.63,1165
6,15.3,53.29,10,9,2,4,0,0,44,5,2,1,90.31,566
10,5.67,23.28,9,6,4,12,0,0,2,7,4,1,65.41,1149
10,16.26,11.49,15,4,9,17,1,0,15,7,3,1,56.47,464
4,8.61,39.79,12,7,8,10,1,0,17,4,5,0,61.41,36
8,15.77,57.38,14,4,7,17,0,0,22,4,2,0,62.14,444
12,6.55,22.57,10,4,2,20,0,0,42,4,1,2,72.15,620
12,15.96,52.98,13,3,4,17,0,0,21,10,2,0,58.57,1185
11,14.25,69.83,7,5,5,12,1,1,44,6,0,4,47.59,215
6,18.94,7.51,7,4,3,16,0,0,6,7,0,3,84.87,849
12,9.27,36.48,8,5,4,20,1,0,13,11,0,1,72.1,585
13,26.74,35.88,7,5,2,17,1,0,3,5,2,3,71.8,450
9,25.18,61.29,10,6,3,4,0,0,13,4,2,1,90.6,1040
3,8.16,38.7,10,6,4,14,1,0,0,6,2,2,37.91,585
5,34.57,18.99,8,4,8,14,1,0,10,4,2,0,65.45,817
11,40.11,74.69,11,10,5,22,0,0,33,8,4,1,62.5,280
9,11.64,48.25,14,4,3,22,0,0,25,8,1,4,34.04,308
10,3.08,52.96,8,5,2,23,0,0,2,6,3,3,67.53,316
7,10.74,44.13,12,6,3,23,0,0,31,10,2,3,70.59,131
6,13.26,23.37,17,8,3,10,1,0,40,5,3,0,34.19,566
4,6.4,69.82,8,8,4,8,1,0,29,7,3,0,48.63,1121
7,1.64,49.39,13,5,3,17,1,0,16,9,4,2,75.34,721
5,8.83,56.92,19,9,7,21,0,1,38,3,6,2,75.22,444
4,7.09,59.7,10,3,6,24,0,0,43,7,0,1,42.54,871
7,13.38,33.16,14,3,7,17,0,0,24,8,2,4,53.41,609
9,8.71,33.94,11,3,3,12,0,0,12,8,4,2,72.63,1009
6,10.03,5.0,9,4,0,13,1,0,6,7,2,2,45.4,461
9,3.02,46.85,10,6,1,22,1,0,13,2,2,2,78.98,132
5,5.68,75.65,25,7,4,10,0,0,2,6,4,1,45.84,879
4,16.18,18.76,12,0,4,12,0,0,19,5,0,3,61.82,464
14,23.42,45.03,13,4,4,3,0,0,12,7,2,1,90.02,524
11,5.49,18.65,10,5,3,11,0,1,19,5,6,2,72.04,438
7,9.69,60.4,10,5,0,14,1,0,11,3,4,2,60.6,672
10,20.47,45.93,18,6,6,13,0,0,34,3,1,3,66.48,888
4,15.31,15.23,8,4,3,7,0,0,16,6,3,4,50.8,1097
6,5.43,29.58,10,7,4,23,2,0,42,6,2,2,77.54,776
9,15.58,24.19,11,5,7,13,0,0,0,4,4,3,72.59,634
3,3.69,49.44,11,10,6,14,1,0,11,3,3,0,50.49,855
9,35.83,55.19,14,6,6,22,0,0,28,7,5,1,73.49,11
7,32.4,47.68,6,4,7,4,0,0,28,7,4,2,41.27,299
11,18.94,61.22,9,5,5,12,0,0,17,5,1,2,67.48,775
4,25.4,39.54,14,5,7,23,0,1,0,5,4,3,43.97,998
8,17.77,83.57,15,5,5,9,0,0,43,3,2,2,58.86,896
5,2.5,61.29,8,3,5,22,0,0,22,4,4,1,69.46,60
9,16.56,22.24,12,6,4,7,2,0,36,7,2,2,48.74,1041
12,37.45,41.63,13,7,2,5,0,1,25,6,2,5,81.81,253
7,4.74,40.73,9,7,4,11,1,0,35,4,5,2,80.64,603
4,13.38,41.74,15,5,3,17,0,0,24,3,3,1,49.57,484
4,16.64,36.78,15,6,5,4,0,0,5,6,5,2,49.02,541
4,7.64,70.74,16,3,3,17,2,0,29,1,5,3,70.58,803
7,4.73,6.0,14,7,7,11,0,1,29,8,0,2,76.29,670
6,7.58,47.43,15,13,8,6,0,0,30,6,5,1,73.41,25
7,6.9,55.19,18,3,3,15,2,0,43,9,2,1,72.22,1152
11,32.92,59.44,11,7,1,7,0,0,43,6,1,1,76.1,985
7,4.79,44.45,16,7,9,19,0,0,33,4,2,3,61.75,862
7,31.09,36.79,11,4,5,13,1,0,3,8,1,4,96.13,1110
7,2.38,68.6,13,2,4,18,0,0,6,8,3,2,91.94,279
7,15.48,33.12,17,6,5,3,1,0,28,3,1,1,30.95,403
3,8.02,64.88,11,5,8,18,0,0,24,3,3,3,73.87,11
11,11.59,34.48,7,2,3,18,1,1,2,2,2,3,54.85,102
10,11.56,41.55,9,4,0,12,1,1,13,8,3,2,46.93,436
6,9.36,37.25,16,6,5,12,0,0,5,7,2,1,92.12,1082
11,20.17,42.35,10,1,0,15,1,0,21,5,2,2,68.9,956
3,12.59,48.71,10,6,3,11,0,0,5,3,7,3,54.33,1133
9,10.19,22.19,11,6,7,11,0,0,3,7,1,0,30.99,1184
4,9.95,38.35,8,3,1,6,2,0,31,3,4,1,75.16,283
8,13.89,36.97,14,5,4,10,0,0,38,6,2,5,69.3,214
6,8.78,77.74,7,3,5,4,0,0,19,9,2,1,59.3,609
10,15.46,49.66,13,7,3,16,2,0,2,10,4,0,43.46,920
4,12.22,59.27,12,2,5,5,1,0,16,4,2,0,69.88,217
13,20.65,25.75,18,6,4,19,1,0,29,6,4,3,65.24,40
5,8.64,41.43,8,4,3,6,0,0,4,3,5,2,56.95,638
4,26.33,89.29,13,6,5,21,0,0,29,4,3,2,69.82,511
4,22.13,42.67,11,6,4,4,0,0,19,5,4,1,56.52,393
14,10.55,17.72,13,2,5,17,0,0,32,8,0,2,54.8,329
6,23.1,29.96,13,6,1,20,1,0,37,6,0,2,76.93,350
10,15.19,33.75,15,4,5,8,0,1,28,5,1,2,77.71,1188
10,45.09,24.57,10,4,2,4,0,0,18,5,3,3,43.46,443
8,7.08,89.27,16,4,3,4,0,0,0,5,4,4,60.92,448
10,8.26,43.64,12,4,3,3,0,0,4,8,2,1,80.57,110
10,10.22,39.45,14,4,5,9,1,0,41,5,4,3,76.27,270
7,16.22,34.96,20,7,6,21,2,0,36,7,6,5,61.42,544
7,10.9,74.13,10,5,5,4,0,0,29,1,5,1,98.62,971
6,3.05,51.47,11,1,4,23,0,0,12,4,5,1,65.37,826
7,5.33,32.59,12,5,1,7,0,0,21,7,2,1,53.56,1025
9,9.69,35.25,14,6,6,7,0,0,7,5,3,1,59.42,975
7,22.55,68.54,13,4,5,14,2,0,36,5,4,2,58.18,835
11,30.84,10.81,14,6,2,24,2,0,11,1,3,3,61.39,674
13,3.71,41.35,17,5,4,23,0,0,24,8,3,2,65.8,1101
8,16.04,57.28,7,5,6,9,0,0,12,12,4,2,52.42,983
6,1.26,23.84,8,5,2,22,0,0,3,6,3,2,57.42,608
6,9.91,36.32,9,7,5,21,0,0,27,6,1,1,76.75,1021
10,27.38,46.59,12,5,6,24,1,1,22,5,3,1,92.37,732
8,28.46,22.56,10,8,3,10,0,0,35,5,2,1,64.48,242
5,17.74,49.86,6,5,5,20,0,2,0,5,3,1,61.95,1084
8,10.53,59.06,9,4,4,20,0,0,16,3,1,3,98.96,931
8,10.53,39.12,12,2,4,20,1,0,5,4,4,2,75.85,843
12,6.37,45.18,18,4,1,24,0,0,16,7,7,0,55.23,962
13,28.4,41.44,17,6,7,9,0,0,15,3,2,3,56.48,610
5,14.19,61.27,10,4,6,16,0,0,26,8,3,1,55.89,350
7,3.34,27.53,10,4,6,11,0,0,16,6,6,2,72.27,605
6,16.13,58.55,12,7,3,3,0,0,42,7,3,3,64.7,173
11,20.47,53.09,10,3,4,3,1,2,27,4,3,3,77.86,999
6,16.65,26.21,8,4,4,9,0,0,4,4,1,1,59.12,243
4,17.55,41.99,15,5,0,13,1,0,40,8,1,1,51.45,134
6,27.95,35.49,15,3,3,12,1,1,1,7,0,1,92.84,17
3,18.07,64.12,16,2,3,11,0,0,23,8,2,0,88.35,471
6,8.0,43.6,8,3,7,24,0,0,43,8,4,2,60.46,1034
6,5.47,62.07,13,3,8,16,0,0,32,2,0,4,72.63,514
9,13.99,36.21,8,6,4,15,0,0,18,7,6,5,79.23,869
6,9.14,51.14,4,8,4,14,0,0,11,4,2,0,54.48,763
7,5.81,5.0,12,6,2,7,0,1,15,6,2,1,64.81,627
8,4.52,14.37,13,3,6,9,0,1,27,4,5,0,73.7,609
6,7.09,44.23,13,6,5,15,0,0,32,7,4,4,60.61,530
8,21.45,30.42,9,8,2,13,0,1,24,2,5,4,58.16,1184
7,12.66,64.4,9,7,1,6,0,0,26,3,5,0,83.02,1011
9,13.2,17.34,10,7,9,15,0,0,15,6,7,1,71.6,675
1,5.73,41.28,9,9,3,19,0,0,14,4,4,7,83.64,156
8,13.76,69.65,14,1,6,20,0,0,11,5,5,1,65.42,1064
11,8.79,53.76,15,6,2,5,0,0,27,0,6,1,81.66,969
9,2.31,56.43,4,5,5,24,0,0,33,7,4,1,42.58,998
9,12.01,27.34,6,4,4,11,0,0,12,7,5,0,68.89,520
6,6.3,29.8,10,4,3,21,1,1,36,9,0,2,43.71,131
4,9.07,16.89,14,10,7,24,0,0,8,3,5,0,75.31,537
6,2.48,73.84,8,7,2,9,0,0,5,5,2,2,76.1,729
4,22.9,44.76,13,2,2,10,1,0,26,8,4,3,42.83,624
12,8.23,48.86,17,8,1,23,0,0,1,3,4,4,43.96,553
10,12.0,26.06,11,4,3,11,0,0,10,3,3,2,81.54,1054
9,12.76,47.22,13,8,6,8,0,0,20,3,1,4,74.36,1186
5,1.44,85.17,10,3,5,3,0,1,33,9,2,2,74.49,373
8,20.77,51.26,12,2,3,8,0,1,24,10,1,0,63.29,662
4,7.67,50.75,9,7,2,8,3,0,32,9,3,1,92.24,998
7,7.39,52.26,11,3,5,6,0,0,32,2,1,1,100.0,308
10,2.01,55.16,14,8,5,7,0,0,0,3,2,1,47.58,682
7,4.4,40.6,12,6,5,21,0,1,29,6,9,0,91.1,1073
12,19.38,46.15,13,4,4,24,0,1,36,9,2,4,87.92,955
8,12.19,48.32,13,6,1,7,1,0,7,9,2,0,67.95,342
12,13.25,34.59,17,6,3,21,0,0,41,7,3,2,65.51,387
6,11.56,51.04,15,3,5,15,1,0,3,6,1,1,78.13,1005
6,17.35,78.04,11,7,4,15,0,0,40,2,1,1,43.55,980
8,6.01,34.14,15,2,5,16,0,0,41,4,2,0,94.52,517
10,27.56,17.41,13,5,6,11,0,1,3,5,1,5,56.68,646
8,13.14,65.1,14,6,6,6,1,0,41,4,3,1,67.97,659
7,6.26,73.9,15,1,0,12,3,0,43,2,2,0,83.57,791
7,18.23,76.12,12,7,5,7,1,0,4,4,4,3,43.8,14
5,9.51,72.26,14,5,3,16,0,0,40,4,5,3,59.23,735
8,4.15,61.16,23,5,3,15,0,0,44,6,5,0,46.99,600
5,8.95,61.64,12,7,1,5,2,0,15,9,5,1,74.18,187
4,9.67,49.01,19,6,8,13,4,1,43,6,4,0,66.56,870
8,4.57,15.02,13,4,2,14,0,0,23,10,4,1,85.48,547
10,3.4,35.92,17,6,2,12,1,0,27,5,3,1,57.9,344
14,11.9,14.22,12,5,3,20,0,2,39,6,0,3,77.07,187
5,12.61,41.15,14,7,5,10,1,0,40,7,2,3,40.35,696
7,10.53,53.59,15,4,3,7,0,1,9,4,4,1,81.62,909
7,7.88,64.93,12,2,4,12,0,1,14,3,5,0,70.86,447
0,23.97,45.96,6,4,7,9,3,0,13,4,5,2,71.75,166
6,8.62,35.03,17,3,4,19,1,0,7,4,2,3,74.53,79
8,35.19,39.82,20,4,5,19,0,1,30,8,0,5,53.33,318
11,6.94,31.53,10,4,1,16,0,0,2,8,3,1,74.81,647
8,11.05,75.3,13,7,3,10,0,0,30,6,2,2,47.26,466
11,24.15,43.96,19,4,3,14,1,0,23,7,6,1,62.72,338
8,4.06,59.06,11,3,6,24,1,0,15,3,4,3,57.6,7
4,13.48,48.97,16,3,5,23,0,1,31,3,4,0,57.5,975
15,19.11,60.39,11,5,3,18,1,0,20,4,5,2,53.78,979
17,23.94,50.38,9,6,8,5,1,0,30,5,6,5,52.69,328
8,19.06,78.48,13,3,7,3,0,0,8,3,0,3,87.85,620
9,14.67,17.7,17,9,6,20,0,0,11,3,1,1,57.04,463
12,24.76,34.72,11,4,4,7,0,0,26,6,3,1,83.9,728
7,7.48,66.63,8,4,4,20,0,0,4,6,2,3,75.36,735
2,11.52,61.05,7,4,2,16,1,0,22,4,3,0,94.28,186
6,5.38,41.71,9,3,3,5,1,0,27,5,5,0,62.98,733
6,4.47,31.06,14,2,8,8,0,0,7,10,1,4,73.31,786
9,8.66,55.49,12,8,3,4,0,0,28,3,2,1,70.41,550
6,12.56,33.12,18,10,4,18,0,0,38,7,3,1,45.48,136
10,5.61,57.74,9,6,6,8,0,0,25,5,3,3,62.84,1148
9,5.55,31.89,16,5,6,17,0,0,30,5,1,4,45.08,1169
8,13.45,40.85,10,4,3,16,0,0,35,11,2,0,60.24,233
11,2.77,41.91,7,11,7,15,0,0,24,3,2,3,64.99,924
7,14.73,47.35,11,3,1,8,0,0,33,8,7,3,79.09,675
11,11.51,70.97,10,8,6,5,1,0,26,2,1,1,70.27,799
7,26.17,39.09,8,1,0,5,0,0,6,9,0,3,37.91,494
9,10.85,54.17,10,3,3,22,1,1,29,2,1,0,46.05,105
6,12.39,59.41,16,5,2,9,0,0,35,0,4,0,75.36,865
13,7.15,58.77,19,5,2,19,0,0,36,2,4,3,56.27,450
3,17.75,8.23,9,6,1,19,1,0,21,7,4,0,70.92,369
11,36.14,51.48,14,10,3,17,0,0,26,5,1,3,72.16,360
10,13.01,32.78,4,5,3,11,0,0,22,8,3,1,83.43,225
12,17.16,64.74,10,2,5,13,1,1,13,2,0,1,60.93,596
7,8.92,79.09,12,1,3,19,0,0,11,11,3,2,69.41,772
11,19.65,52.09,12,4,3,14,0,1,4,8,2,2,59.32,1067
10,17.86,71.08,11,5,9,16,0,2,25,7,3,4,88.56,450
6,44.93,65.37,15,7,6,18,0,2,4,9,5,3,71.45,382
10,19.15,38.26,11,2,1,16,0,0,33,6,6,2,39.99,1052
8,16.1,40.91,10,6,5,17,0,0,36,7,3,1,49.7,429
9,11.01,73.93,19,7,4,5,1,0,35,4,3,5,67.34,934
9,20.0,28.62,8,5,3,5,0,0,35,4,3,4,96.19,245
7,2.81,51.96,11,5,5,22,0,0,9,5,2,0,55.5,525
5,6.85,79.54,14,1,1,8,0,0,34,3,0,0,75.74,757
8,3.69,57.37,11,6,5,6,2,1,29,7,6,5,74.09,17
13,14.41,45.27,9,3,5,17,0,0,25,7,4,1,100.0,502
7,18.31,40.68,7,4,1,12,0,0,28,5,4,1,54.02,97
20,10.81,83.37,11,7,6,23,0,0,35,5,3,0,57.96,1047
6,11.75,97.4,15,6,4,8,0,0,40,3,1,4,55.89,668
5,5.17,43.26,14,6,2,17,0,1,21,8,3,1,76.01,575
11,12.69,49.97,14,7,5,13,0,0,18,13,2,2,43.73,643
4,45.68,30.24,14,4,2,22,0,0,1,3,1,1,35.4,308
10,6.94,25.99,11,4,5,13,0,0,0,5,6,1,85.59,30
10,43.03,45.83,17,4,4,19,0,0,23,5,1,2,64.92,499
7,16.38,56.86,8,7,4,5,0,0,43,7,2,2,51.6,378
10,22.38,40.81,9,6,4,15,0,0,31,8,5,0,75.49,87
11,4.03,66.91,2,7,6,15,0,0,13,6,2,2,77.32,111
7,3.29,45.78,16,4,4,3,1,0,12,5,1,0,80.13,922
5,17.44,70.06,13,4,3,4,0,0,11,8,3,1,70.17,724
8,18.92,18.85,10,8,4,18,1,0,36,4,3,1,88.12,774
6,8.38,32.51,8,7,5,13,1,0,16,4,1,1,57.25,200
6,14.95,55.69,18,3,4,5,0,0,25,7,4,0,46.64,705
6,11.92,29.27,13,4,7,22,0,0,7,9,5,2,62.17,942
10,10.98,73.82,8,5,6,12,0,0,39,6,1,3,73.22,858
5,29.55,49.01,12,1,4,14,1,1,1,12,4,2,47.71,283
7,13.23,93.74,16,6,3,3,0,0,4,5,3,3,58.24,1017
6,11.98,46.02,15,7,3,16,1,3,38,7,3,1,64.18,757
12,49.27,67.08,12,4,5,22,0,1,26,6,4,1,51.63,1135
3,13.04,13.59,16,4,8,4,0,0,11,8,1,2,73.45,529
9,20.61,46.52,11,4,3,12,2,0,18,5,4,2,75.57,1076
6,35.47,49.06,10,5,5,3,2,0,21,7,2,1,63.91,184
9,13.89,49.11,8,5,6,9,0,0,36,6,2,1,84.94,141
7,3.13,45.59,10,6,1,12,0,0,44,5,4,1,72.28,783
5,18.87,59.39,10,3,4,3,0,0,5,3,5,3,65.71,979
5,7.89,52.05,13,3,5,16,0,0,13,5,4,6,71.93,683
4,20.87,48.38,10,7,5,10,0,0,22,5,2,1,68.97,360
13,2.39,75.82,9,9,5,16,0,0,18,10,4,3,86.42,765
4,31.19,89.15,15,7,5,6,0,0,19,4,1,4,38.38,337
5,11.65,52.51,7,8,7,15,1,1,34,5,7,4,68.04,837
10,14.75,68.11,10,5,0,18,0,0,42,3,3,1,100.0,632
7,26.18,90.74,15,5,2,20,0,0,6,5,4,1,78.31,485
8,7.0,40.38,13,9,2,17,0,0,12,5,1,1,71.22,890
10,18.7,24.44,7,3,5,7,0,1,37,8,3,0,60.15,658
10,33.84,37.27,10,3,8,7,2,0,4,7,4,1,61.38,310
7,14.71,75.03,9,5,4,14,0,0,39,6,2,5,99.08,872
11,6.97,27.32,13,6,8,16,0,0,41,4,7,0,78.41,245
9,14.09,71.77,12,7,4,24,0,0,23,5,3,4,58.2,451
8,18.22,52.77,9,8,3,13,0,0,14,6,5,0,62.3,38
5,6.0,64.33,11,5,2,10,0,1,3,11,1,1,51.35,394
6,13.5,97.45,11,4,4,4,0,0,30,4,6,3,56.2,1028
6,22.12,18.08,13,8,6,4,0,0,19,5,3,5,54.4,475
7,23.44,5.0,16,6,4,7,1,0,9,6,2,1,59.09,584
7,22.83,86.22,15,7,1,23,0,0,11,5,2,5,51.51,741
10,7.79,49.6,13,6,1,5,1,0,21,11,3,2,84.84,409
10,11.97,79.21,7,8,1,12,0,0,22,6,4,3,75.84,853
12,0.67,57.85,8,5,6,9,0,0,15,1,2,2,42.83,901
7,13.2,74.43,13,5,4,15,0,1,25,5,4,1,55.16,810
9,5.47,61.43,18,6,7,19,0,0,32,4,5,4,70.67,392
13,5.85,37.26,7,4,3,14,0,0,35,5,2,1,58.49,480
4,18.08,44.32,11,8,7,11,1,0,3,7,2,4,41.57,1134
7,1.94,56.8,6,7,4,8,1,0,10,8,3,3,83.78,912
5,17.47,62.87,18,10,6,3,1,0,26,6,3,2,69.39,617
9,15.21,54.98,17,4,5,4,1,0,13,9,5,1,73.5,479
7,3.91,32.57,12,9,4,4,0,0,40,8,2,2,46.25,540
4,6.15,20.18,13,3,4,21,0,1,36,10,4,3,88.95,98
7,10.18,41.56,11,1,3,9,1,0,19,5,2,1,90.38,744
11,2.38,22.69,6,4,3,12,0,0,20,5,2,2,66.08,1090
10,11.34,71.54,8,4,2,22,0,0,30,10,7,3,53.55,73
6,4.28,41.06,10,3,2,11,1,0,17,6,3,5,58.36,759
8,12.37,55.82,13,3,5,8,1,0,42,8,2,2,83.01,760
9,17.76,42.84,20,3,4,4,1,0,19,4,5,2,76.86,10
3,26.53,24.16,11,5,2,9,1,0,21,4,2,1,61.91,1020
9,15.44,61.44,12,3,5,5,0,0,35,5,7,1,76.79,547
9,57.55,52.1,11,6,3,20,1,0,20,8,3,2,54.25,1100
8,2.72,48.77,13,5,2,9,0,1,23,7,4,0,48.6,272
4,4.88,36.27,18,6,3,8,0,0,8,8,4,2,62.05,1112
5,6.41,55.4,10,5,3,9,0,2,21,5,2,2,66.11,477
